施設名,カテゴリ,都道府県,市区町村,最寄駅,対象年齢,予算,屋内外,URL
コミュタン福島（福島県環境創造センター交流棟）,博物館・科学館,福島県,三春町,,4-6,無料,屋内,https://kyounoko.jp/spot/-ydyh
さざえ堂,博物館・科学館,福島県,会津若松市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-mudm
スパリゾートハワイアンズ,遊園地,福島県,いわき市,,2-3/4-6,3000円〜,屋内,https://kyounoko.jp/spot/-v5de
リカちゃんキャッスル,博物館・科学館,福島県,小野町,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-y5fp
安達ヶ原ふるさと村,公園,福島県,二本松市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-g461
郡山市ふれあい科学館 スペースパーク,博物館・科学館,福島県,郡山市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-zc29
三春の里 田園生活館,公園,福島県,三春町,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-molp
鶴ヶ城（会津若松城）,公園,福島県,会津若松市,,4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-hj29
アネビートリムパーク神戸,屋内施設,兵庫県,神戸市東灘区,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-7imb
ニジゲンノモリ（淡路島）,遊園地,兵庫県,淡路市,,4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-ivnu
ピュアハートキッズランド尼崎つかしん,屋内施設,兵庫県,尼崎市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-u6gs
神戸アンパンマンこどもミュージアム&モール,屋内施設,兵庫県,神戸市中央区,,0-1/2-3/4-6,3000円〜,屋内,https://kyounoko.jp/spot/-msnm
神戸どうぶつ王国,動物園,兵庫県,神戸市,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-9dd3
神戸市立須磨離宮公園,公園,兵庫県,神戸市須磨区,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-s7ib
神崎農村公園ヨーデルの森,牧場,兵庫県,神河町,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-24mk
須磨シーワールド,水族館,兵庫県,神戸市,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-05te
西猪名公園,公園,兵庫県,伊丹市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-2c89
東条湖おもちゃ王国,遊園地,兵庫県,加東市,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-s033
姫路セントラルパーク,動物園,兵庫県,姫路市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-a4cu
AOAO SAPPORO,水族館,北海道,札幌市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/AOAO-SAPPORO-o5q5
おたる水族館,水族館,北海道,小樽市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-5ytr
サンピアザ水族館,水族館,北海道,札幌市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ecz0
のぼりべつクマ牧場,動物園,北海道,登別市,,4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-g3qb
ファンタジーキッズリゾート新さっぽろ,屋内施設,北海道,札幌市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-co8h
モエレ沼公園,公園,北海道,札幌市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-kd8l
旭山動物園,動物園,北海道,旭川市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-jxpu
旭川市旭山動物園,動物園,北海道,旭川市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-jqqo
国営滝野すずらん丘陵公園,公園,北海道,札幌市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-8cjj
札幌市円山動物園,動物園,北海道,札幌市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-9jfd
北海道こどもの国,公園,北海道,砂川市,,2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-cwkr
アドベンチャーワールド,動物園,和歌山県,白浜町,,0-1/2-3/4-6,3000円〜,屋内外,https://kyounoko.jp/spot/-2awz
さぎのせ公園,公園,和歌山県,岩出市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-p2jl
ポルトヨーロッパ,遊園地,和歌山県,和歌山市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-j3z4
串本海中公園,水族館,和歌山県,串本町,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-9662
太地町立くじらの博物館,博物館・科学館,和歌山県,太地町,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-k2j0
道の駅 四季の郷公園 FOOD HUNTER PARK,公園,和歌山県,和歌山市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/FOOD-HUNTER-PARK-69ci
白崎海洋公園,公園,和歌山県,由良町,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-v3mz
友ヶ島,公園,和歌山県,和歌山市,,4-6,〜1000円,屋外,https://kyounoko.jp/spot/-wzi6
和歌山県立自然博物館,博物館・科学館,和歌山県,海南市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-akn1
和歌山市立こども科学館,博物館・科学館,和歌山県,和歌山市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-1ocs
和歌山城,公園,和歌山県,和歌山市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-3u34
